Title,Release Year,Director,DP,Editor,Production Designer,Writer,Producer,Actors,Studio,Country of Origin,Title in Original Language,TMDb ID,IMDb ID,Your Rating
300,2007,Zack Snyder,Larry Fong,William Hoy,James D. Bissell,Zack Snyder|Kurt Johnstad|Michael B. Gordon,Jeffrey Silver|Gianni Nunnari|Bernie Goldmann,Gerard Butler|Lena Headey|Dominic West|David Wenham|Vincent Regan|Michael Fassbender|Tom Wisdom|Andrew Pleavin|Andrew Tiernan|Rodrigo Santoro,Virtual Studios|Legendary Pictures|Hollywood Gang Productions|Atmosphere Entertainment MM|Warner Bros. Pictures,United States of America,300,1271,tt0416449,8.0
1917,2019,Sam Mendes,Roger Deakins,Lee Smith,Dennis Gassner,Krysty Wilson-Cairns|Sam Mendes,Jayne-Ann Tenggren|Pippa Harris|Michael Lerman|Sam Mendes|Callum McDougall,George MacKay|Dean-Charles Chapman|Mark Strong|Andrew Scott|Richard Madden|Claire Duburcq|Colin Firth|Benedict Cumberbatch|Daniel Mays|Adrian Scarborough,DreamWorks Pictures|Reliance Entertainment|New Republic Pictures|Neal Street Productions|Mogambo Films,United States of America|United Kingdom|Spain|India,1917,530915,tt8579674,9.0
(500) Days of Summer,2009,Marc Webb,Eric Steelberg,Alan Edward Bell,Laura Fox,Michael H. Weber|Scott Neustadter,Steven J. Wolfe|Jessica Tuchinsky|Mark Waters|Mason Novick,Joseph Gordon-Levitt|Zooey Deschanel|Geoffrey Arend|Chloë Grace Moretz|Matthew Gray Gubler|Clark Gregg|Patricia Belcher|Rachel Boston|Minka Kelly|Charles Walker,Fox Searchlight Pictures|Watermark Pictures|Dune Entertainment III,United States of America,(500) Days of Summer,19913,tt1022603,7.0
10 Cloverfield Lane,2016,Dan Trachtenberg,Jeff Cutter,Stefan Grube,Ramsey Avery,Josh Campbell|Matthew Stuecken|Damien Chazelle,J.J. Abrams|Lindsey Weber,John Goodman|Mary Elizabeth Winstead|John Gallagher Jr.|Douglas M. Griffin|Suzanne Cryer|Bradley Cooper|Sumalee Montano|Frank Mottek,Bad Robot,United States of America,10 Cloverfield Lane,333371,tt1179933,6.0
12 Angry Men,1957,Sidney Lumet,Boris Kaufman,Carl Lerner,,Reginald Rose,Henry Fonda|Reginald Rose,Martin Balsam|John Fiedler|Lee J. Cobb|E.G. Marshall|Jack Klugman|Edward Binns|Jack Warden|Henry Fonda|Joseph Sweeney|Ed Begley,Orion-Nova Productions,United States of America,12 Angry Men,389,tt0050083,9.0
2 Guns,2013,Baltasar Kormákur,Oliver Wood,Michael Tronick,Beth Mickle,Blake Masters,Randall Emmett|George Furla|Norton Herrick|Ross Richie|Adam Siegel|Marc Platt|Andrew Cosby,Denzel Washington|Mark Wahlberg|Paula Patton|Edward James Olmos|Bill Paxton|James Marsden|Fred Ward|Robert John Burke|Greg Sproles|Patrick Fischler,Universal Pictures|Marc Platt Productions|EFO Films|Envision Entertainment|Foresight Unlimited|Oasis Entertainment|Herrick Entertainment|BOOM! Studios|Empyre Media Capital,United States of America,2 Guns,136400,tt1272878,4.0
2001: A Space Odyssey,1968,Stanley Kubrick,Geoffrey Unsworth,Ray Lovejoy,Anthony Masters|Ernest Archer|Harry Lange,Arthur C. Clarke|Stanley Kubrick,Victor Lyndon|Stanley Kubrick,Keir Dullea|Gary Lockwood|William Sylvester|Douglas Rain|Daniel Richter|Leonard Rossiter|Margaret Tyzack|Robert Beatty|Sean Sullivan|Frank W. Miller,Stanley Kubrick Productions|Metro-Goldwyn-Mayer,United Kingdom|United States of America,2001: A Space Odyssey,62,tt0062622,10.0
28 Days Later,2002,Danny Boyle,Anthony Dod Mantle,Chris Gill,Mark Tildesley,Alex Garland,Andrew Macdonald,Cillian Murphy|Naomie Harris|Brendan Gleeson|Megan Burns|Christopher Eccleston|Noah Huntley|Luke Mably|Stuart McQuarrie|Ricci Harnett|Leo Bill,DNA Films,United Kingdom,28 Days Later,170,tt0289043,8.0
28 Weeks Later,2007,Juan Carlos Fresnadillo,Enrique Chediak,Chris Gill,Mark Tildesley,Rowan Joffé|Juan Carlos Fresnadillo|Jesús Olmo|Enrique López Lavigne,Bernard Bellew|Allon Reich|Andrew Macdonald|Enrique López Lavigne,Robert Carlyle|Rose Byrne|Jeremy Renner|Harold Perrineau|Catherine McCormack|Mackintosh Muggleton|Imogen Poots|Idris Elba|Amanda Walker|Shahid Ahmed,DNA Films|Figment Films|UK Film Council|Fox Atomic|Koan|Sogecine,United Kingdom|Spain|United States of America,28 Weeks Later,1562,tt0463854,6.0
6 Days to Air: The Making of South Park,2011,Arthur Bradford,P.H. O'Brien,Chad Beck|Bret Granato,,,,Trey Parker|Matt Stone|Bill Hader|Anne Garefino|Frank C. Agnone II|Vernon Chatman|Susan Hurwitz Arneson|Eric Stough|Adrien Beard|Jack Shih,Comedy Central,United States of America,6 Days to Air: The Making of South Park,76360,tt2076781,8.0
8½,1963,Federico Fellini,Gianni Di Venanzo,Leo Catozzo,Piero Gherardi,Federico Fellini|Brunello Rondi|Tullio Pinelli|Ennio Flaiano,Angelo Rizzoli,Marcello Mastroianni|Claudia Cardinale|Anouk Aimée|Sandra Milo|Rossella Falk|Barbara Steele|Madeleine Lebeau|Caterina Boratto|Eddra Gale|Guido Alberti,Cineriz|Francinex,Italy|France,8½,422,tt0056801,2.0
A Beautiful Planet,2016,Toni Myers,James Neihouse,Toni Myers,,Toni Myers,Toni Myers,Jennifer Lawrence|Samantha Cristoforetti|Scott Kelly|Kjell Lindgren,IMAX,United States of America,A Beautiful Planet,365997,tt2800050,8.0
A Clockwork Orange,1971,Stanley Kubrick,John Alcott,Bill Butler,John Barry,Stanley Kubrick,Stanley Kubrick,Malcolm McDowell|Patrick Magee|Carl Duering|Michael Bates|Warren Clarke|James Marcus|Michael Tarn|Miriam Karlin|Adrienne Corri|Sheila Raynor,Polaris Productions Limited|Warner Bros. Pictures|Hawk Films,United Kingdom|United States of America,A Clockwork Orange,185,tt0066921,8.0
A Complete Unknown,2024,James Mangold,Phedon Papamichael,Andrew Buckland|Scott Morris,François Audouy,Jay Cocks|James Mangold,Timothée Chalamet|James Mangold|Alan Gasmer|Bob Bookman|Peter Jaysen|Fred Berger|Alex Heineman|Jeff Rosen,Timothée Chalamet|Edward Norton|Elle Fanning|Monica Barbaro|Scoot McNairy|Dan Fogler|Boyd Holbrook|Will Harrison|Joe Tippett|Eriko Hatsune,Veritas Entertainment Group|Range Media Partners|The Picture Company|Turnpike Films|White Water|Searchlight Pictures|TSG Entertainment,United States of America,A Complete Unknown,661539,tt11563598,5.0
A Fish Called Wanda,1988,Charles Crichton,Alan Hume,John Jympson,Roger Murray-Leach,John Cleese|Charles Crichton,Michael Shamberg,Jamie Lee Curtis|John Cleese|Kevin Kline|Michael Palin|Maria Aitken|Tom Georgeson|Cynthia Cleese|Patricia Hayes|Geoffrey Palmer|Mark Elwes,Prominent Features|Metro-Goldwyn-Mayer|Fish Productions|Michael Shamberg Productions,United Kingdom|United States of America,A Fish Called Wanda,623,tt0095159,6.0
A Ghost Story,2017,David Lowery,Andrew Droz Palermo,David Lowery,Jade Healy|Tom Walker,David Lowery,Toby Halbrooks|James M. Johnston|Adam Donaghey,Casey Affleck|Rooney Mara|McColm Cephas Jr.|Kenneisha Thompson|Grover Coulson|Liz Cardenas|Barlow Jacobs|Richard Krause|Dagger Salazar|Sonia Acevedo,Sailor Bear|Zero Trans Fat Productions|Ideaman Studios,United States of America,A Ghost Story,428449,tt6265828,7.0
A House of Dynamite,2025,Kathryn Bigelow,Barry Ackroyd,Kirk Baxter,Jeremy Hindle,Noah Oppenheim,Kathryn Bigelow|Noah Oppenheim|Greg Shapiro,Idris Elba|Rebecca Ferguson|Gabriel Basso|Jared Harris|Tracy Letts|Anthony Ramos|Moses Ingram|Jonah Hauer-King|Greta Lee|Jason Clarke,First Light|Prologue Entertainment|Kingsgate Films,United States of America,A House of Dynamite,1290159,tt32376165,7.0
A Scanner Darkly,2006,Richard Linklater,Shane F. Kelly,Sandra Adair,Bruce Curtis,Richard Linklater,Erwin Stoff|Jonah Smith|Tommy Pallotta|Anne Walker-McBay|Palmer West,Keanu Reeves|Robert Downey Jr.|Woody Harrelson|Winona Ryder|Rory Cochrane|Mitch Baker|Sean Allen|Cliff Haby|Steven Chester Prince|Natasha Valdez,Warner Independent Pictures|Thousand Words|Detour Filmproduction|Section Eight|3 Arts Entertainment,United States of America,A Scanner Darkly,3509,tt0405296,6.0
A Serious Man,2009,Joel Coen|Ethan Coen,Roger Deakins,Joel Coen|Ethan Coen,Jess Gonchor,Joel Coen|Ethan Coen,Joel Coen|Ethan Coen,Michael Stuhlbarg|Richard Kind|Fred Melamed|Sari Lennick|Aaron Wolff|Jessica McManus|Peter Breitmayer|Brent Braunschweig|David Kang|Benjamin Portnoe,Focus Features|StudioCanal|Relativity Media|Working Title Films|Mike Zoss Productions,United States of America|United Kingdom|France,A Serious Man,12573,tt1019452,8.0
A Star Is Born,2018,Bradley Cooper,Matthew Libatique,Jay Cassidy,Karen Murphy,Bradley Cooper|Will Fetters|Eric Roth,Bradley Cooper|Bill Gerber|Todd Phillips|Lynette Howell Taylor|Jon Peters,Lady Gaga|Bradley Cooper|Sam Elliott|Andrew Dice Clay|Rafi Gavron|Anthony Ramos|Dave Chappelle|Alec Baldwin|Marlon Williams|Brandi Carlile,Warner Bros. Pictures|Live Nation Studios|Metro-Goldwyn-Mayer|Peters Entertainment|Gerber Pictures|Joint Effort,United States of America,A Star Is Born,332562,tt1517451,7.0
Ace in the Hole,1951,Billy Wilder,Charles Lang,Arthur P. Schmidt,,Lesser Samuels|Walter Newman|Billy Wilder,Billy Wilder,Kirk Douglas|Jan Sterling|Robert Arthur|Porter Hall|Frank Cady|Richard Benedict|Ray Teal|Lewis Martin|John Berkes|Frances Dominguez,Paramount Pictures,United States of America,Ace in the Hole,25364,tt0043338,8.0
Ad Astra,2019,James Gray,Hoyte van Hoytema,John Axelrad|Lee Haugen,Kevin Thompson,James Gray|Ethan Gross,Brad Pitt|James Gray|Dede Gardner|Anthony Katagas|Jeremy Kleiner|Rodrigo Teixeira|Arnon Milchan,Brad Pitt|Tommy Lee Jones|Liv Tyler|Ruth Negga|Donald Sutherland|Kimberly Elise|Loren Dean|Donnie Keshawarz|Sean Blakemore|Bobby Nish,New Regency Productions|MadRiver Pictures|Plan B Entertainment|RT Features|Bona Film Group|TSG Entertainment|Keep Your Head Productions|20th Century Fox|Regency Enterprises,Brazil|China|United States of America,Ad Astra,419704,tt2935510,8.0
Adaptation.,2002,Spike Jonze,Lance Acord,Eric Zumbrunnen,K.K. Barrett,Charlie Kaufman,Jonathan Demme|Vincent Landay|Edward Saxon,Nicolas Cage|Meryl Streep|Chris Cooper|Tilda Swinton|Jay Tavare|Litefoot|Roger Willie|Jim Beaver|Cara Seymour|Doug Jones,Columbia Pictures|Propaganda Films|Good Machine|Intermedia|Beverly Detroit Studios|Clinica Estetico,United States of America,Adaptation.,2757,tt0268126,9.0
After Hours,1985,Martin Scorsese,Michael Ballhaus,Thelma Schoonmaker,Jeffrey Townsend,Joseph Minion,Robert F. Colesberry|Griffin Dunne|Amy Robinson,Griffin Dunne|Rosanna Arquette|Verna Bloom|Tommy Chong|Linda Fiorentino|Teri Garr|John Heard|Cheech Marin|Catherine O'Hara|Dick Miller,Double Play|Geffen Pictures,United States of America,After Hours,10843,tt0088680,2.0
"Aguirre, the Wrath of God",1972,Werner Herzog,Thomas Mauch,Beate Mainka-Jellinghaus,,Werner Herzog,Werner Herzog|Hans Prescher,Klaus Kinski|Helena Rojo|Del Negro|Ruy Guerra|Peter Berling|Cecilia Rivera|Daniel Ades|Edward Roland|Alexandra Cheves|Armando Polanah,Werner Herzog Filmproduktion|HR,Germany,"Aguirre, der Zorn Gottes",2000,tt0068182,3.0
I'm Still Here,2024,Walter Salles,Adrian Teijido,Affonso Gonçalves,,Murilo Hauser|Heitor Lorega,Maria Carlota Bruno|Walter Salles|Rodrigo Teixeira|Martine De Clermont-Tonnerre,Fernanda Torres|Fernanda Montenegro|Selton Mello|Valentina Herszage|Maria Manoella|Bárbara Luz|Gabriela Carneiro da Cunha|Luiza Kosovski|Marjorie Estiano|Pri Helena,VideoFilmes|MACT Productions|RT Features|ARTE France Cinéma|Conspiração Filmes|Globoplay,Brazil|France,Ainda Estou Aqui,1000837,tt14961016,9.0
Airplane!,1980,Jim Abrahams|David Zucker|Jerry Zucker,Joseph F. Biroc,Patrick Kennedy,Ward Preston,Jim Abrahams|David Zucker|Jerry Zucker,Jon Davison,Robert Hays|Julie Hagerty|Leslie Nielsen|Kareem Abdul-Jabbar|Lloyd Bridges|Peter Graves|Robert Stack|Lorna Patterson|Jill Whelan|Ann Nelson,Paramount Pictures|Howard W. Koch Productions,United States of America,Airplane!,813,tt0080339,8.0
Akira,1988,Katsuhiro Otomo,Katsuji Misawa,Takeshi Seyama,,Izo Hashimoto|Katsuhiro Otomo,Shunzo Kato|Ryohei Suzuki,Mitsuo Iwata|Nozomu Sasaki|Mami Koyama|Taro Ishida|Mizuho Suzuki|Tessyo Genda|Koichi Kitamura|Yuriko Fuchizaki|Masaaki Okura|Takeshi Kusao,MBS|Sumitomo Corporation|TOHO|Kodansha|Tokyo Movie Shinsha|Bandai|Hakuhodo|LaserDisc Corporation,Japan,AKIRA,149,tt0094625,8.0
Alien,1979,Ridley Scott,Derek Vanlint,Terry Rawlings|Peter Weatherley,Michael Seymour,Ronald Shusett|Dan O'Bannon,Walter Hill|Gordon Carroll|David Giler,Tom Skerritt|Sigourney Weaver|Veronica Cartwright|Harry Dean Stanton|John Hurt|Ian Holm|Yaphet Kotto|Bolaji Badejo|Helen Horton,Brandywine Productions|Twentieth Century-Fox Productions|Ronald Shusett Productions,United States of America|United Kingdom,Alien,348,tt0078748,7.0
Aliens,1986,James Cameron,Adrian Biddle,Ray Lovejoy,Peter Lamont,James Cameron|David Giler|Walter Hill,Gale Anne Hurd,Sigourney Weaver|Carrie Henn|Michael Biehn|Paul Reiser|Lance Henriksen|Bill Paxton|William Hope|Jenette Goldstein|Al Matthews|Mark Rolston,SLM Production Group|20th Century Fox|Brandywine Productions,United States of America,Aliens,679,tt0090605,6.0
Alita: Battle Angel,2019,Robert Rodriguez,Bill Pope,Stephen E. Rivkin|Ian Silverstein,Caylah Eddleblute|Steve Joyner,James Cameron|Laeta Kalogridis,James Cameron|Jon Landau|Robert Rodriguez,Rosa Salazar|Christoph Waltz|Jennifer Connelly|Mahershala Ali|Ed Skrein|Jackie Earle Haley|Keean Johnson|Lana Condor|Jorge Lendeborg Jr.|Eiza González,Troublemaker Studios|Lightstorm Entertainment|20th Century Fox|TSG Entertainment,United States of America,Alita: Battle Angel,399579,tt0437086,8.0
All About Eve,1950,Joseph L. Mankiewicz,Milton Krasner,Barbara McLean,,Joseph L. Mankiewicz,Darryl F. Zanuck,Bette Davis|Anne Baxter|George Sanders|Celeste Holm|Gary Merrill|Hugh Marlowe|Thelma Ritter|Gregory Ratoff|Marilyn Monroe|Barbara Bates,20th Century Fox,United States of America,All About Eve,705,tt0042192,8.0
All That Jazz,1979,Bob Fosse,Giuseppe Rotunno,Alan Heim,Tony Walton|Philip Rosenberg,Robert Alan Aurthur|Bob Fosse,,Roy Scheider|Jessica Lange|Ann Reinking|Leland Palmer|Cliff Gorman|Ben Vereen|Erzsebet Foldi|Michael Tolan|Max Wright|William LeMassena,Columbia Pictures|20th Century Fox,United States of America,All That Jazz,16858,tt0078754,9.0
Amadeus,1984,Miloš Forman,Miroslav Ondříček,Michael Chandler|Nena Danevic,Patrizia von Brandenstein,Peter Shaffer,Saul Zaentz,F. Murray Abraham|Tom Hulce|Elizabeth Berridge|Simon Callow|Roy Dotrice|Christine Ebersole|Jeffrey Jones|Charles Kay|Kenny Baker|Lisbeth Bartlett,The Saul Zaentz Company,United States of America,Amadeus,279,tt0086879,9.0
Ambulance,2022,Michael Bay,Roberto De Angelis,Pietro Scalia|Calvin Wimmer|Doug Brandt,Karen Frick,Chris Fedak,James Vanderbilt|Bradley J. Fischer|William Sherak|Ian Bryce|Michael Bay,Jake Gyllenhaal|Yahya Abdul-Mateen II|Eiza González|Garret Dillahunt|Keir O'Donnell|Jackson White|Olivia Stambouliah|Moses Ingram|Colin Woodell|Cedric Sanders,Bay Films|Endeavor Content|New Republic Pictures|Project X Entertainment|Universal Pictures,United States of America|Japan,Ambulance,763285,tt4998632,2.0
American Beauty,1999,Sam Mendes,Conrad Hall,Christopher Greenbury|Tariq Anwar,Naomi Shohan,Alan Ball,Bruce Cohen|Dan Jinks,Kevin Spacey|Annette Bening|Thora Birch|Wes Bentley|Mena Suvari|Peter Gallagher|Allison Janney|Chris Cooper|Scott Bakula|Sam Robards,DreamWorks Pictures|Jinks/Cohen Company,United States of America,American Beauty,14,tt0169547,9.0
American Fiction,2023,Cord Jefferson,Cristina Dunlap,Hilda Rasula,Jonathan Guggenheim,Cord Jefferson,Ben LeClair|Nikos Karamigios|Jermaine Johnson|Cord Jefferson,Jeffrey Wright|John Ortiz|Erika Alexander|Leslie Uggams|Sterling K. Brown|Skyler Wright|John Ales|Patrick Fischler|Carmen Cusack|Joseph Marrella,MRC|T-Street|3 Arts Entertainment|Almost Infinite,United States of America,American Fiction,1056360,tt23561236,9.0
American History X,1998,Tony Kaye,Tony Kaye,Alan Heim|Gerald B. Greenberg,Jon Gary Steele,David McKenna,John Morrissey,Edward Norton|Edward Furlong|Beverly D'Angelo|Jennifer Lien|Ethan Suplee|Fairuza Balk|Avery Brooks|Elliott Gould|Stacy Keach|William Russ,New Line Cinema|Savoy Pictures|The Turman-Morrissey Company,United States of America,American History X,73,tt0120586,10.0
American Psycho,2000,Mary Harron,Andrzej Sekula,Andrew Marcus,Gideon Ponte,Mary Harron|Guinevere Turner,Christian Halsey Solomon|Chris Hanley|Edward R. Pressman,Christian Bale|Justin Theroux|Josh Lucas|Bill Sage|Chloë Sevigny|Reese Witherspoon|Samantha Mathis|Matt Ross|Jared Leto|Willem Dafoe,Lionsgate|Pressman Film|Muse Productions|Christian Halsey Solomon Productions,Canada|United States of America,American Psycho,1359,tt0144084,4.0
Anchorman 2: The Legend Continues,2013,Adam McKay,Oliver Wood,Brent White|Melissa Bretherton,Clayton Hartley,Will Ferrell|Adam McKay,Judd Apatow|Will Ferrell|Adam McKay,Will Ferrell|Steve Carell|Paul Rudd|David Koechner|Christina Applegate|Dylan Baker|Meagan Good|Judah Nelson|James Marsden|Greg Kinnear,Gary Sanchez Productions|Paramount Pictures|Apatow Productions,United States of America,Anchorman 2: The Legend Continues,109443,tt1229340,6.0
Anchorman: The Legend of Ron Burgundy,2004,Adam McKay,Thomas E. Ackerman,Brent White,Clayton Hartley,Adam McKay|Will Ferrell,Judd Apatow,Will Ferrell|Christina Applegate|Paul Rudd|Steve Carell|David Koechner|Fred Willard|Chris Parnell|Kathryn Hahn|Fred Armisen|Seth Rogen,DreamWorks Pictures|Apatow Productions,United States of America,Anchorman: The Legend of Ron Burgundy,8699,tt0357413,7.0
Angry White Man,2011,Brian James O'Connell,,,,,,Scoot McNairy|Matt Berry|Mary Birdsong|Steve Agee|Matthew Warzel|Genevieve Jones,,,Angry White Man,270604,tt1693106,1.0
Ali: Fear Eats the Soul,1974,Rainer Werner Fassbinder,Jürgen Jürges,Thea Eymèsz,Rainer Werner Fassbinder,Rainer Werner Fassbinder,Rainer Werner Fassbinder,Brigitte Mira|El Hedi ben Salem|Irm Hermann|Barbara Valentin|Elma Karlowa|Anita Bucher|Gusti Kreissl|Doris Mattes|Margit Symo|Katharina Herberg,Tango Film|Filmverlag der Autoren,Germany,Angst essen Seele auf,216,tt0071141,8.0
Anima,2019,Paul Thomas Anderson,Darius Khondji,Andy Jurgensen,Petr Kunc,,Michal Škop|Paul Thomas Anderson|Erica Frauman|Sara Murphy,Thom Yorke|Dajana Roncione|Frida Dam Seidel|Joseba Yerro Izaguirre|Jean Michael Sinisterra Munoz|Takuya Fujisawa|Valerija Kuzmica|Dorotea Saykaly|Duncan Schultz|Einar-Anton Aas Nikkerud,Stillking Films|Froggie Production|Ghoulardi Film Company,United States of America,Anima,610120,tt10516984,6.0
Annihilation,2018,Alex Garland,Rob Hardy,Barney Pilling,Mark Digby,Alex Garland,Andrew Macdonald|Allon Reich|Eli Bush|Scott Rudin,Natalie Portman|Jennifer Jason Leigh|Gina Rodriguez|Tessa Thompson|Tuva Novotny|Oscar Isaac|Benedict Wong|Sonoya Mizuno|David Gyasi|John Schwab,Paramount Pictures|Skydance Media|DNA Films|Scott Rudin Productions,United Kingdom|United States of America,Annihilation,300668,tt2798920,8.0
Anomalisa,2015,Charlie Kaufman|Duke Johnson,Joe Passarelli,Garret Elkins,John Joyce|Huy Vu,Charlie Kaufman,Duke Johnson|Charlie Kaufman|Dino Stamatopoulos|Rosa Tran,David Thewlis|Jennifer Jason Leigh|Tom Noonan,Starburns Industries|Snoot Entertainment,United States of America,Anomalisa,291270,tt2401878,8.0
Anora,2024,Sean Baker,Drew Daniels,Sean Baker,Stephen Phelps,Sean Baker,Samantha Quan|Alex Coco|Sean Baker,Mikey Madison|Mark Eydelshteyn|Yura Borisov|Karren Karagulian|Vache Tovmasyan|Luna Sofía Miranda|Lindsey Normington|Darya Ekamasova|Aleksey Serebryakov|Anton Bitter,Cre Film|FilmNation Entertainment,United States of America,Anora,1064213,tt28607951,6.0
Apocalypse Now,1979,Francis Ford Coppola,Vittorio Storaro,Gerald B. Greenberg|Lisa Fruchtman|Walter Murch,Dean Tavoularis,Francis Ford Coppola|John Milius,Francis Ford Coppola,Martin Sheen|Marlon Brando|Frederic Forrest|Albert Hall|Laurence Fishburne|Sam Bottoms|Robert Duvall|G.D. Spradlin|Harrison Ford|Jerry Ziesmer,American Zoetrope,United States of America,Apocalypse Now,28,tt0078788,10.0
Apocalypto,2006,Mel Gibson,Dean Semler,John Wright,Thomas E. Sanders,Mel Gibson|Farhad Safinia,Mel Gibson|Bruce Davey|Sergio Miranda,Rudy Youngblood|Raoul Max Trujillo|Gerardo Taracena|Iazua Larios|Antonio Monroy|María Isabel Díaz Lago|Dalia Hernández|Jonathan Brewer|Morris Birdyellowhead|Carlos Emilio Báez,Icon Entertainment International|Icon Productions|Touchstone Pictures,United Kingdom|United States of America,Apocalypto,1579,tt0472043,4.0
